t	PL(A)	PL(B)	PL(T)	PL(E)	V(A)	V(B)	V(E)	I(A)	I(B)	I(E)
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0
0,000	0,000	32,700	3,270E+1	0,000E+0	4,617E+1	5,976E+1	0,000E+0	0,000E+0	2,795E+0	0,000E+0
0,000	0,100	117,200	1,173E+2	0,000E+0	5,536E+1	8,672E+1	0,000E+0	0,000E+0	5,353E+0	0,000E+0
0,000	0,100	117,200	1,173E+2	0,000E+0	5,536E+1	8,672E+1	0,000E+0	0,000E+0	5,353E+0	0,000E+0
0,000	49,800	63,000	1,128E+2	0,000E+0	1,622E+2	1,621E+2	0,000E+0	6,820E-1	6,739E-1	0,000E+0
0,000	13,300	12,900	2,620E+1	0,000E+0	1,761E+2	1,759E+2	0,000E+0	1,272E-1	1,263E-1	0,000E+0
0,000	15,900	14,900	3,080E+1	0,000E+0	1,688E+2	1,687E+2	0,000E+0	1,622E-1	1,597E-1	0,000E+0
0,000	22,900	21,800	4,470E+1	0,000E+0	1,729E+2	1,723E+2	0,000E+0	2,134E-1	2,096E-1	0,000E+0
0,000	20,200	19,000	3,920E+1	0,000E+0	1,726E+2	1,725E+2	0,000E+0	1,882E-1	1,861E-1	0,000E+0
0,000	20,200	19,000	3,920E+1	0,000E+0	1,726E+2	1,725E+2	0,000E+0	1,882E-1	1,861E-1	0,000E+0
0,000	20,500	19,100	3,960E+1	0,000E+0	1,724E+2	1,722E+2	0,000E+0	1,902E-1	1,877E-1	0,000E+0
0,000	20,500	19,200	3,970E+1	0,000E+0	1,723E+2	1,724E+2	0,000E+0	1,900E-1	1,886E-1	0,000E+0
0,000	20,300	18,900	3,920E+1	0,000E+0	1,724E+2	1,723E+2	0,000E+0	1,887E-1	1,869E-1	0,000E+0
0,000	20,400	18,800	3,920E+1	0,000E+0	1,725E+2	1,723E+2	0,000E+0	1,894E-1	1,860E-1	0,000E+0
0,000	20,300	19,000	3,930E+1	0,000E+0	1,724E+2	1,724E+2	0,000E+0	1,892E-1	1,875E-1	0,000E+0
0,000	20,400	19,000	3,940E+1	0,000E+0	1,724E+2	1,724E+2	0,000E+0	1,901E-1	1,870E-1	0,000E+0
0,000	20,400	19,000	3,940E+1	0,000E+0	1,727E+2	1,726E+2	0,000E+0	1,901E-1	1,865E-1	0,000E+0
0,000	20,300	18,900	3,920E+1	0,000E+0	1,726E+2	1,725E+2	0,000E+0	1,888E-1	1,868E-1	0,000E+0
0,000	20,300	18,800	3,910E+1	0,000E+0	1,726E+2	1,726E+2	0,000E+0	1,887E-1	1,861E-1	0,000E+0
0,000	20,300	18,800	3,910E+1	0,000E+0	1,726E+2	1,726E+2	0,000E+0	1,887E-1	1,861E-1	0,000E+0
0,000	20,500	19,000	3,950E+1	0,000E+0	1,725E+2	1,725E+2	0,000E+0	1,906E-1	1,873E-1	0,000E+0
0,000	20,500	19,000	3,950E+1	0,000E+0	1,725E+2	1,725E+2	0,000E+0	1,906E-1	1,873E-1	0,000E+0
0,000	20,200	18,500	3,870E+1	0,000E+0	1,724E+2	1,722E+2	0,000E+0	1,882E-1	1,839E-1	0,000E+0
0,000	19,700	18,200	3,790E+1	0,000E+0	1,723E+2	1,722E+2	0,000E+0	1,847E-1	1,822E-1	0,000E+0
0,000	19,700	18,300	3,800E+1	0,000E+0	1,721E+2	1,720E+2	0,000E+0	1,837E-1	1,817E-1	0,000E+0
0,000	19,700	18,300	3,800E+1	0,000E+0	1,721E+2	1,720E+2	0,000E+0	1,837E-1	1,817E-1	0,000E+0
0,000	19,500	17,900	3,740E+1	0,000E+0	1,722E+2	1,721E+2	0,000E+0	1,823E-1	1,786E-1	0,000E+0
0,000	19,500	18,100	3,760E+1	0,000E+0	1,721E+2	1,721E+2	0,000E+0	1,822E-1	1,802E-1	0,000E+0
0,000	19,600	18,200	3,780E+1	0,000E+0	1,722E+2	1,722E+2	0,000E+0	1,824E-1	1,799E-1	0,000E+0
0,000	20,000	18,700	3,870E+1	0,000E+0	1,723E+2	1,722E+2	0,000E+0	1,868E-1	1,851E-1	0,000E+0
0,000	20,500	19,000	3,950E+1	0,000E+0	1,725E+2	1,722E+2	0,000E+0	1,910E-1	1,874E-1	0,000E+0
0,000	20,900	19,500	4,040E+1	0,000E+0	1,724E+2	1,725E+2	0,000E+0	1,936E-1	1,916E-1	0,000E+0
0,000	20,900	19,500	4,040E+1	0,000E+0	1,724E+2	1,725E+2	0,000E+0	1,936E-1	1,916E-1	0,000E+0
0,000	22,700	21,500	4,420E+1	0,000E+0	1,731E+2	1,729E+2	0,000E+0	2,090E-1	2,064E-1	0,000E+0
0,000	24,000	23,200	4,720E+1	0,000E+0	1,732E+2	1,734E+2	0,000E+0	2,205E-1	2,183E-1	0,000E+0
0,000	26,000	25,100	5,110E+1	0,000E+0	1,739E+2	1,734E+2	0,000E+0	2,381E-1	2,346E-1	0,000E+0
0,000	28,300	27,600	5,590E+1	0,000E+0	1,744E+2	1,742E+2	0,000E+0	2,586E-1	2,543E-1	0,000E+0
0,000	30,400	30,500	6,090E+1	0,000E+0	1,749E+2	1,748E+2	0,000E+0	2,783E-1	2,757E-1	0,000E+0
0,000	30,400	30,500	6,090E+1	0,000E+0	1,749E+2	1,748E+2	0,000E+0	2,783E-1	2,757E-1	0,000E+0
0,000	35,200	35,900	7,110E+1	0,000E+0	1,761E+2	1,760E+2	0,000E+0	3,228E-1	3,195E-1	0,000E+0
0,000	36,900	38,500	7,540E+1	0,000E+0	1,764E+2	1,762E+2	0,000E+0	3,405E-1	3,386E-1	0,000E+0
0,000	37,800	39,300	7,710E+1	0,000E+0	1,767E+2	1,763E+2	0,000E+0	3,485E-1	3,445E-1	0,000E+0
0,000	39,300	41,100	8,040E+1	0,000E+0	1,769E+2	1,767E+2	0,000E+0	3,638E-1	3,589E-1	0,000E+0
0,000	40,500	42,500	8,300E+1	0,000E+0	1,772E+2	1,770E+2	0,000E+0	3,737E-1	3,693E-1	0,000E+0
0,000	42,100	44,700	8,680E+1	0,000E+0	1,774E+2	1,773E+2	0,000E+0	3,903E-1	3,870E-1	0,000E+0
0,000	43,300	46,400	8,970E+1	0,000E+0	1,779E+2	1,776E+2	0,000E+0	4,039E-1	3,996E-1	0,000E+0
0,000	43,300	46,900	9,020E+1	0,000E+0	1,778E+2	1,779E+2	0,000E+0	4,047E-1	4,027E-1	0,000E+0
0,000	44,100	47,400	9,150E+1	0,000E+0	1,780E+2	1,778E+2	0,000E+0	4,118E-1	4,070E-1	0,000E+0
0,000	44,100	47,400	9,150E+1	0,000E+0	1,780E+2	1,778E+2	0,000E+0	4,118E-1	4,070E-1	0,000E+0
0,000	44,700	48,300	9,300E+1	0,000E+0	1,783E+2	1,780E+2	0,000E+0	4,171E-1	4,128E-1	0,000E+0
0,000	44,700	48,300	9,300E+1	0,000E+0	1,783E+2	1,780E+2	0,000E+0	4,171E-1	4,128E-1	0,000E+0
0,000	45,300	49,600	9,490E+1	0,000E+0	1,781E+2	1,781E+2	0,000E+0	4,258E-1	4,237E-1	0,000E+0
0,000	45,900	50,300	9,620E+1	0,000E+0	1,782E+2	1,782E+2	0,000E+0	4,301E-1	4,284E-1	0,000E+0
0,000	46,000	50,000	9,600E+1	0,000E+0	1,785E+2	1,782E+2	0,000E+0	4,304E-1	4,265E-1	0,000E+0
0,000	46,100	50,100	9,620E+1	0,000E+0	1,783E+2	1,781E+2	0,000E+0	4,314E-1	4,283E-1	0,000E+0
