Time - Corrente	Amplitude - Corrente	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2
0	0,183105	0	-0,219727	0	0
1	0,20752	1	-0,195312	1	-0,00610352
2	0,22583	2	-0,177002	2	-0,012207
3	0,244141	3	-0,195312	3	-0,00610352
4	0,244141	4	-0,20752	4	0
5	0,22583	5	-0,195312	5	-0,012207
6	0,238037	6	-0,219727	6	0,00610352
7	0,213623	7	-0,213623	7	0,012207
8	0,201416	8	-0,231934	8	0,0366211
9	0,201416	9	-0,22583	9	-0,00610352
10	0,20752	10	-0,20752	10	-0,012207
11	0,189209	11	-0,219727	11	0,012207
12	0,219727	12	-0,256348	12	0,012207
13	0,20752	13	-0,244141	13	-0,0183105
14	0,231934	14	-0,231934	14	0,012207
15	0,22583	15	-0,238037	15	0,0183105
16	0,244141	16	-0,244141	16	0,0183105
17	0,231934	17	-0,201416	17	-0,00610352
18	0,238037	18	-0,213623	18	0,012207
19	0,256348	19	-0,219727	19	-0,0183105
20	0,268555	20	-0,219727	20	0,0244141
21	0,250244	21	-0,231934	21	-0,00610352
22	0,256348	22	-0,256348	22	0,012207
23	0,274658	23	-0,250244	23	0,0183105
24	0,231934	24	-0,244141	24	0,012207
25	0,20752	25	-0,256348	25	0,0305176
26	0,244141	26	-0,262451	26	0,012207
27	0,268555	27	-0,262451	27	0,0183105
28	0,268555	28	-0,244141	28	0,012207
29	0,280762	29	-0,274658	29	0,00610352
30	0,274658	30	-0,256348	30	0
31	0,250244	31	-0,250244	31	0,012207
32	0,250244	32	-0,250244	32	0,012207
33	0,280762	33	-0,268555	33	0,0244141
34	0,274658	34	-0,250244	34	0,0183105
35	0,280762	35	-0,256348	35	0,00610352
36	0,268555	36	-0,268555	36	0,0183105
37	0,286865	37	-0,280762	37	0
38	0,268555	38	-0,280762	38	-0,0183105
39	0,286865	39	-0,280762	39	0,0183105
40	0,299072	40	-0,280762	40	0,00610352
41	0,256348	41	-0,268555	41	0,012207
42	0,286865	42	-0,274658	42	0,0183105
43	0,286865	43	-0,286865	43	-0,00610352
44	0,305176	44	-0,299072	44	-0,0183105
45	0,317383	45	-0,292969	45	0,00610352
46	0,317383	46	-0,299072	46	-0,012207
47	0,292969	47	-0,299072	47	0,0183105
48	0,305176	48	-0,305176	48	0,012207
49	0,305176	49	-0,268555	49	0,012207
50	0,299072	50	-0,292969	50	0,0183105
51	0,317383	51	-0,317383	51	-0,012207
52	0,341797	52	-0,292969	52	-0,00610352
53	0,311279	53	-0,317383	53	0,00610352
54	0,311279	54	-0,335693	54	0,012207
55	4,55322	55	-1,49536	55	0,0183105
56	0,860596	56	-0,439453	56	0,0183105
57	0,549316	57	0,128174	57	0,0244141
58	0,579834	58	-0,0305176	58	-0,00610352
59	0,500488	59	-0,012207	59	0,00610352
60	0,402832	60	-0,146484	60	0
61	0,280762	61	-0,213623	61	0,00610352
62	0,115967	62	-0,378418	62	0,00610352
63	0,0305176	63	-0,439453	63	0,0183105
64	0,0793457	64	-0,445557	64	0
65	0,0610352	65	-0,43335	65	0,012207
66	0,115967	66	-0,372314	66	0,012207
67	0,152588	67	-0,354004	67	-0,0183105
68	0,231934	68	-0,250244	68	-0,00610352
69	0,311279	69	-0,170898	69	0,012207
70	0,3479	70	-0,12207	70	-0,00610352
71	0,360107	71	-0,109863	71	0,0427246
72	0,3479	72	-0,109863	72	-0,0183105
73	0,311279	73	-0,128174	73	-0,00610352
74	0,244141	74	-0,170898	74	-0,00610352
75	0,183105	75	-0,213623	75	0,0183105
76	0,12207	76	-0,305176	76	-0,00610352
77	0,0976562	77	-0,311279	77	0,0183105
78	0,0610352	78	-0,305176	78	0,00610352
79	0,10376	79	-0,280762	79	0,0183105
80	0,134277	80	-0,244141	80	0,0305176
81	0,170898	81	-0,195312	81	-0,00610352
82	0,22583	82	-0,140381	82	-0,00610352
83	0,274658	83	-0,12207	83	0,012207
84	0,244141	84	-0,0976562	84	0
85	0,256348	85	-0,12207	85	-0,0183105
86	0,219727	86	-0,115967	86	-0,00610352
87	0,170898	87	-0,170898	87	0,0305176
88	0,140381	88	-0,195312	88	0,012207
89	0,115967	89	-0,20752	89	0,012207
90	0,0793457	90	-0,231934	90	0
91	0,0976562	91	-0,22583	91	-0,0183105
92	0,10376	92	-0,20752	92	0,00610352
93	0,0976562	93	-0,170898	93	0,012207
94	0,134277	94	-0,158691	94	0,0244141
95	0,177002	95	-0,0915527	95	0,0244141
96	0,195312	96	-0,0915527	96	0,0183105
97	0,177002	97	-0,0732422	97	0
98	0,177002	98	-0,0732422	98	0,012207
99	0,152588	99	-0,0915527	99	-0,012207
100	0,12207	100	-0,134277	100	-0,012207
101	0,0793457	101	-0,128174	101	0,0183105
102	0,0732422	102	-0,177002	102	0,012207
103	0,0610352	103	-0,158691	103	0,0244141
104	0,0793457	104	-0,158691	104	0,012207
105	0,0793457	105	-0,12207	105	-0,0183105
106	0,0976562	106	-0,10376	106	0,00610352
107	0,128174	107	-0,0976562	107	-0,00610352
108	0,109863	108	-0,0793457	108	0,00610352
109	0,12207	109	-0,0732422	109	-0,00610352
110	0,12207	110	-0,0488281	110	0,0183105
111	0,0854492	111	-0,0427246	111	0,00610352
112	0,0793457	112	-0,0732422	112	0,00610352
113	0,0732422	113	-0,0854492	113	0,0183105
114	0,0244141	114	-0,115967	114	0,012207
115	0,0549316	115	-0,115967	115	-0,00610352
116	0,0244141	116	-0,0976562	116	0,0183105
117	0,0427246	117	-0,0854492	117	0
118	0,0244141	118	-0,0793457	118	0,0244141
119	0,0244141	119	-0,0305176	119	0,0244141
120	0,0671387	120	-0,0427246	120	-0,012207
121	0,0488281	121	-0,0305176	121	0,0244141
122	0,0854492	122	-0,0244141	122	0
123	0,0732422	123	-0,0244141	123	0,012207
124	0,0549316	124	-0,0366211	124	0
125	0,0305176	125	-0,0427246	125	-0,00610352
126	-0,00610352	126	-0,0366211	126	0,0244141
127	-0,00610352	127	-0,0488281	127	0,0244141
128	-0,00610352	128	-0,0305176	128	0
129	-0,0183105	129	-0,0427246	129	-0,012207
130	0,012207	130	-0,0305176	130	0
131	0,0244141	131	-0,0305176	131	0
132	0,012207	132	-0,0305176	132	-0,00610352
133	-0,0732422	133	0,0305176	133	0,00610352
134	-0,140381	134	0,0366211	134	0,012207
135	-0,183105	135	0,0854492	135	0,0244141
136	-0,22583	136	0,0549316	136	0
137	-0,311279	137	0,0549316	137	0,0183105
138	-0,317383	138	0,0427246	138	-0,012207
139	-0,335693	139	-0,00610352	139	-0,0183105
140	-0,354004	140	-0,939941	140	0,0305176
141	-0,341797	141	-0,183105	141	0,0244141
142	-0,164795	142	-0,20752	142	-0,00610352
143	-0,177002	143	-0,201416	143	0,00610352
144	-0,0793457	144	-0,128174	144	0,012207
145	0,0183105	145	-0,0610352	145	0,0183105
146	0,146484	146	0,0244141	146	0,0305176
147	0,189209	147	0,0976562	147	0,00610352
