Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2
0	0,0854492	0	7,30591	0	0
1	0,0183105	1	3,50342	1	0,0183105
2	0,0366211	2	2,53906	2	0,00610352
3	0,0244141	3	2,02637	3	0,00610352
4	0	4	1,29395	4	0,012207
5	-0,00610352	5	0,469971	5	0,00610352
6	-0,012207	6	-0,32959	6	0
7	-0,0244141	7	-0,982666	7	-0,00610352
8	-0,0305176	8	-1,47705	8	0,00610352
9	-0,0244141	9	-1,5686	9	0,0183105
10	-0,0305176	10	-1,41602	10	0,00610352
11	-0,0183105	11	-0,872803	11	0,012207
12	-0,012207	12	-0,335693	12	0,012207
13	-0,00610352	13	0,164795	13	0,00610352
14	0,0183105	14	0,57373	14	0,012207
15	0,012207	15	0,848389	15	0
16	0,0183105	16	0,921631	16	0,00610352
17	0,00610352	17	0,830078	17	0,0183105
18	0	18	0,579834	18	0
19	-0,00610352	19	0,213623	19	0,00610352
20	-0,00610352	20	-0,128174	20	0,00610352
21	-0,00610352	21	-0,415039	21	0
22	0	22	-0,634766	22	0,012207
23	-0,00610352	23	-0,701904	23	-0,00610352
24	-0,00610352	24	-0,610352	24	0,00610352
25	-0,00610352	25	-0,415039	25	0,00610352
26	-0,012207	26	-0,183105	26	0,012207
27	0,00610352	27	0,146484	27	0
28	0	28	0,360107	28	0
29	0	29	0,500488	29	0
30	0,00610352	30	0,543213	30	0,012207
31	0,00610352	31	0,457764	31	0,00610352
32	0	32	0,311279	32	0,012207
33	0,00610352	33	0,10376	33	0,00610352
34	-0,0183105	34	-0,177002	34	0,00610352
35	-0,012207	35	-0,286865	35	0,012207
36	-0,012207	36	-0,415039	36	0,00610352
37	-0,012207	37	-0,457764	37	0
38	0	38	-0,3479	38	0
39	0,00610352	39	-0,195312	39	0,012207
40	-0,00610352	40	-0,0427246	40	0,00610352
41	0,00610352	41	0,152588	41	0,012207
42	-0,00610352	42	0,268555	42	0,00610352
43	0	43	0,366211	43	0,00610352
44	0	44	0,341797	44	0,00610352
45	0,012207	45	0,262451	45	0,00610352
46	0,00610352	46	0,152588	46	-0,00610352
47	-0,012207	47	0,00610352	47	0,00610352
48	-0,012207	48	-0,164795	48	0,00610352
49	-0,00610352	49	-0,238037	49	0,012207
50	-0,012207	50	-0,268555	50	0,00610352
51	-0,012207	51	-0,317383	51	0,00610352
52	-0,00610352	52	-0,22583	52	0,012207
53	0	53	-0,0793457	53	-0,00610352
54	-0,012207	54	0,0244141	54	0,00610352
55	0	55	0,128174	55	0
56	-0,00610352	56	0,213623	56	0,00610352
57	-0,00610352	57	0,201416	57	0
58	-0,00610352	58	0,189209	58	0,00610352
59	0	59	0,146484	59	0,00610352
60	-0,00610352	60	0,0366211	60	0
61	0	61	-0,0549316	61	-0,00610352
62	-0,012207	62	-0,10376	62	0,00610352
63	-0,00610352	63	-0,201416	63	0
64	-0,00610352	64	-0,201416	64	0,012207
65	0	65	-0,164795	65	0,00610352
66	-0,00610352	66	-0,0976562	66	0,00610352
67	-0,00610352	67	0,00610352	67	0,012207
68	0,00610352	68	0,0610352	68	0,00610352
69	0	69	0,109863	69	0,00610352
70	0,012207	70	0,164795	70	0,00610352
71	0	71	0,177002	71	0
72	-0,00610352	72	0,109863	72	0,0183105
73	-0,00610352	73	0,0671387	73	0,00610352
74	0	74	-0,00610352	74	0,00610352
75	-0,00610352	75	-0,0732422	75	0,00610352
76	0	76	-0,12207	76	-0,00610352
77	-0,012207	77	-0,12207	77	0,00610352
78	-0,012207	78	-0,109863	78	0,012207
79	0	79	-0,0732422	79	0,00610352
80	0	80	-0,0183105	80	0,00610352
81	-0,012207	81	0,0427246	81	0
82	0	82	0,140381	82	0,0183105
83	0	83	0,0915527	83	0
84	0	84	0,0976562	84	0
85	0	85	0,0976562	85	0
86	-0,00610352	86	0,012207	86	-0,00610352
87	-0,00610352	87	-0,012207	87	0,012207
88	0	88	-0,0427246	88	0,012207
89	-0,00610352	89	-0,0732422	89	0,012207
90	0,00610352	90	-0,0854492	90	0,0183105
91	-0,012207	91	-0,0976562	91	0,012207
92	-0,00610352	92	-0,0610352	92	0,0183105
93	0,00610352	93	0	93	0,00610352
94	0	94	0,0244141	94	0,00610352
95	-0,00610352	95	0,0427246	95	0,00610352
96	-0,00610352	96	0,0854492	96	0,0183105
97	-0,00610352	97	0,0671387	97	0
98	0,00610352	98	-0,0183105	98	0,00610352
99	0	99	0,0488281	99	0
100	-0,012207	100	0	100	0,0183105
101	-0,00610352	101	-0,0610352	101	0,00610352
102	-0,012207	102	-0,0549316	102	0,00610352
103	-0,00610352	103	-0,0549316	103	0
104	0	104	-0,0488281	104	0
105	-0,012207	105	0	105	0,012207
106	0	106	0	106	0,00610352
107	-0,00610352	107	0,0427246	107	0,012207
108	0	108	0,0488281	108	0,00610352
109	-0,00610352	109	0,0488281	109	0,012207
110	0	110	0,0305176	110	0,00610352
111	-0,00610352	111	0,0305176	111	0,012207
112	-0,012207	112	0,0244141	112	0
113	-0,00610352	113	-0,0183105	113	0,00610352
114	0,00610352	114	0,0244141	114	0
115	0	115	-0,0488281	115	0,012207
116	-0,00610352	116	-0,0549316	116	0,012207
117	-0,00610352	117	-0,012207	117	0
118	-0,00610352	118	-0,00610352	118	0
119	0	119	-0,00610352	119	-0,00610352
120	0	120	0,0305176	120	0,00610352
121	0	121	0,0366211	121	0,0183105
122	-0,00610352	122	0,0305176	122	0,00610352
123	-0,00610352	123	0	123	0
124	-0,00610352	124	0	124	0,012207
125	-0,00610352	125	0	125	0
126	-0,00610352	126	-0,012207	126	0,00610352
127	0	127	-0,0427246	127	0,00610352
128	0,00610352	128	-0,0305176	128	0,00610352
129	0	129	-0,0305176	129	0,00610352
130	0,00610352	130	-0,0610352	130	0,00610352
131	-0,00610352	131	0,012207	131	0,00610352
132	0	132	0,012207	132	0
133	0	133	-0,00610352	133	0,00610352
134	0	134	0,0183105	134	0,00610352
135	0	135	0,0305176	135	-0,00610352
136	0,00610352	136	0,0183105	136	0,012207
137	-0,00610352	137	0,012207	137	0,00610352
138	-0,00610352	138	0,00610352	138	0,0183105
139	0	139	-0,00610352	139	0,012207
140	0	140	-0,0183105	140	0
141	-0,012207	141	-0,0488281	141	0,00610352
142	-0,0183105	142	-0,012207	142	0,012207
143	0	143	0	143	-0,012207
144	-0,00610352	144	0,00610352	144	0
145	0	145	-0,0183105	145	0,00610352
146	0,00610352	146	0,0549316	146	0,00610352
147	0	147	-0,0183105	147	0
148	0	148	0,0244141	148	0,012207
149	-0,00610352	149	0,012207	149	0,00610352
150	0,00610352	150	0,012207	150	0
151	0	151	-0,0183105	151	0,00610352
152	-0,00610352	152	-0,012207	152	0,00610352
153	-0,00610352	153	-0,00610352	153	0,00610352
154	0,00610352	154	-0,0488281	154	0
155	-0,00610352	155	0	155	0,0183105
156	-0,00610352	156	-0,012207	156	0,012207
157	0	157	0	157	0,012207
158	-0,0183105	158	0,012207	158	0
159	0	159	0,012207	159	0,012207
160	-0,00610352	160	0,0183105	160	0,00610352
161	0	161	0,0183105	161	-0,00610352
162	-0,00610352	162	-0,0366211	162	0
163	0,00610352	163	0,012207	163	0
164	0	164	0,012207	164	0,00610352
165	-0,00610352	165	-0,0610352	165	0,00610352
166	-0,012207	166	-0,00610352	166	0,012207
167	-0,00610352	167	-0,00610352	167	0,00610352
168	-0,00610352	168	-0,0244141	168	0
169	0	169	0	169	0,012207
170	0,00610352	170	-0,0244141	170	0,012207
171	-0,00610352	171	0,0305176	171	0,012207
172	0,00610352	172	0,012207	172	0
173	-0,00610352	173	0	173	0,00610352
174	-0,00610352	174	0,00610352	174	0
175	0	175	0,0183105	175	0,00610352
176	-0,00610352	176	0	176	0,00610352
177	0	177	-0,00610352	177	-0,00610352
178	0	178	0,0366211	178	0,00610352
179	-0,012207	179	-0,0305176	179	0
180	-0,00610352	180	-0,0183105	180	-0,00610352
181	-0,0183105	181	0,00610352	181	0,00610352
182	-0,00610352	182	-0,012207	182	0,012207
183	0,00610352	183	0,012207	183	0,012207
184	0,00610352	184	0,0305176	184	0,00610352
185	0	185	0	185	0
186	0,00610352	186	-0,0244141	186	0,012207
187	-0,00610352	187	0,0183105	187	0
188	0	188	0,0183105	188	0
189	0	189	-0,00610352	189	0,00610352
190	0	190	-0,00610352	190	0,012207
191	0	191	-0,0183105	191	0,00610352
192	0,195312	192	387,268	192	0
193	-0,0549316	193	-3,92456	193	-0,00610352
194	-0,0305176	194	-1,92261	194	0
195	-0,0305176	195	-1,5564	195	0,00610352
196	-0,0183105	196	-1,19019	196	0,00610352
197	-0,00610352	197	-0,823975	197	0,00610352
198	0	198	-0,280762	198	0
199	-0,012207	199	1,18408	199	0,00610352
200	-0,177002	200	12,8479	200	0,012207
201	0,0183105	201	4,05884	201	0,00610352
202	0,0366211	202	2,72827	202	0,00610352
203	0,0244141	203	2,31934	203	0,00610352
204	0,0244141	204	1,75171	204	-0,00610352
205	0,00610352	205	1,06812	205	0,00610352
206	0	206	0,378418	206	0
207	-0,0244141	207	-0,317383	207	0
208	-0,0183105	208	-0,946045	208	0,012207
209	-0,0427246	209	-1,36108	209	0
210	-0,0305176	210	-1,47705	210	-0,00610352
211	-0,0183105	211	-1,44653	211	0,00610352
212	-0,00610352	212	-0,952148	212	0
213	-0,00610352	213	-0,488281	213	0,00610352
214	0	214	-0,0610352	214	0,00610352
215	0	215	0,335693	215	0,00610352
216	0,00610352	216	0,689697	216	0,00610352
217	0,00610352	217	0,823975	217	0,00610352
218	0,00610352	218	0,78125	218	0,00610352
219	0,00610352	219	0,671387	219	0
220	0	220	0,439453	220	0,00610352
221	0	221	0,164795	221	0,00610352
222	-0,00610352	222	-0,109863	222	0
223	-0,00610352	223	-0,372314	223	-0,00610352
224	-0,012207	224	-0,55542	224	0,012207
225	-0,012207	225	-0,592041	225	0,00610352
226	-0,012207	226	-0,604248	226	0,012207
227	-0,00610352	227	-0,384521	227	0,00610352
228	-0,012207	228	-0,189209	228	0,0183105
229	0	229	0,0366211	229	0,00610352
230	-0,00610352	230	0,286865	230	0,012207
231	0,012207	231	0,45166	231	0
232	0,00610352	232	0,45166	232	0,012207
233	0,00610352	233	0,43335	233	0,00610352
234	-0,00610352	234	0,299072	234	0,00610352
235	0,00610352	235	0,158691	235	0,00610352
236	0	236	-0,0427246	236	0,00610352
237	0	237	-0,20752	237	0,012207
238	-0,00610352	238	-0,311279	238	0
239	-0,012207	239	-0,3479	239	0,00610352
240	-0,00610352	240	-0,32959	240	0,00610352
241	-0,00610352	241	-0,274658	241	0,00610352
242	-0,012207	242	-0,0610352	242	0,00610352
243	-0,00610352	243	0,0549316	243	0,00610352
244	-0,00610352	244	0,158691	244	0,00610352
245	0,00610352	245	0,280762	245	0
246	0	246	0,299072	246	0,00610352
247	0	247	0,262451	247	0,012207
248	-0,00610352	248	0,183105	248	0
249	0	249	0,0610352	249	0,00610352
250	-0,00610352	250	-0,012207	250	0,00610352
251	-0,0183105	251	-0,158691	251	0,00610352
252	-0,012207	252	-0,213623	252	0
253	-0,00610352	253	-0,213623	253	0,012207
254	0	254	-0,201416	254	0
255	0	255	-0,146484	255	0,012207
256	0	256	-0,0610352	256	0,012207
257	-0,00610352	257	0,0671387	257	-0,00610352
258	0	258	0,0793457	258	0
259	-0,012207	259	0,183105	259	0,00610352
260	0	260	0,183105	260	0,00610352
261	-0,012207	261	0,140381	261	-0,00610352
262	0	262	0,0976562	262	0
263	0,00610352	263	0,0183105	263	0,00610352
264	-0,012207	264	-0,0793457	264	0,012207
265	-0,012207	265	-0,115967	265	0,012207
266	-0,012207	266	-0,146484	266	0,00610352
267	-0,012207	267	-0,128174	267	0,00610352
268	-0,00610352	268	-0,0854492	268	0,012207
269	0	269	-0,0671387	269	0,012207
270	-0,00610352	270	0	270	0,00610352
271	0	271	0,0854492	271	0
272	0	272	0,109863	272	0
273	0,00610352	273	0,10376	273	0,00610352
274	0	274	0,164795	274	0,012207
275	0,00610352	275	0,0610352	275	0,00610352
276	0	276	0,0183105	276	0,00610352
277	0	277	-0,00610352	277	0
278	0	278	-0,0610352	278	0,00610352
279	0,00610352	279	-0,115967	279	0,00610352
280	-0,00610352	280	-0,0976562	280	0,00610352
281	-0,00610352	281	-0,0671387	281	0,00610352
282	-0,00610352	282	-0,0732422	282	0,00610352
283	0	283	-0,012207	283	0
284	0	284	0,0488281	284	0
285	0,012207	285	0,0793457	285	-0,00610352
286	0	286	0,0915527	286	0
287	0	287	0,0976562	287	-0,00610352
288	0,00610352	288	0,0732422	288	0
289	-0,012207	289	0,0793457	289	0,012207
290	-0,00610352	290	0,012207	290	-0,00610352
291	0	291	0	291	0,00610352
292	-0,00610352	292	-0,0183105	292	0,012207
293	-0,00610352	293	-0,0305176	293	0,012207
294	-0,00610352	294	-0,0427246	294	0,00610352
295	-0,012207	295	-0,0305176	295	0,00610352
296	0,00610352	296	-0,0427246	296	0
297	-0,012207	297	-0,00610352	297	0
298	0	298	0,012207	298	0,012207
299	0,00610352	299	0,0244141	299	0,00610352
300	0,00610352	300	0,0305176	300	0,00610352
301	0,00610352	301	0,0244141	301	0
302	-0,012207	302	0,012207	302	0
303	0	303	0,012207	303	-0,00610352
304	-0,00610352	304	0,00610352	304	0,00610352
305	-0,00610352	305	-0,0366211	305	0
306	-0,012207	306	-0,012207	306	0,0183105
307	0	307	-0,0427246	307	0,00610352
308	0	308	-0,0244141	308	-0,00610352
309	-0,012207	309	-0,012207	309	0,0183105
310	-0,00610352	310	-0,0305176	310	0,00610352
311	-0,00610352	311	0	311	0,00610352
312	-0,00610352	312	0,0244141	312	0,00610352
313	0	313	0,0305176	313	0
314	-0,00610352	314	0,00610352	314	0,00610352
315	-0,012207	315	0,012207	315	0
316	0	316	0,0366211	316	0,00610352
317	0	317	0,0183105	317	0,0183105
318	0	318	0,0305176	318	0
319	-0,00610352	319	0,0244141	319	0,012207
320	-0,012207	320	0,0183105	320	0,012207
321	-0,0183105	321	0,0549316	321	0,00610352
322	0,00610352	322	0	322	0
323	-0,00610352	323	0,012207	323	0,00610352
324	0	324	0,00610352	324	0,012207
325	-0,00610352	325	-0,012207	325	0,0183105
326	0	326	-0,012207	326	0,00610352
327	-0,00610352	327	-0,012207	327	0,00610352
328	0	328	-0,012207	328	0,00610352
329	0	329	0,0244141	329	0
330	-0,012207	330	-0,0244141	330	0
331	0	331	0,0366211	331	0
332	-0,00610352	332	0,0366211	332	0,00610352
333	0	333	0,0244141	333	0,00610352
334	-0,0183105	334	0,0366211	334	0,00610352
335	0	335	0,0488281	335	0,012207
336	0	336	0,0366211	336	0,00610352
337	0	337	0,00610352	337	0
338	-0,00610352	338	0,012207	338	0,00610352
339	0	339	-0,012207	339	-0,00610352
340	-0,00610352	340	-0,0183105	340	0,00610352
