Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2
0	0	0	0,012207	0	0,00610352
1	0	1	0,012207	1	0,00610352
2	-0,00610352	2	0,012207	2	0,00610352
3	0	3	0	3	0,012207
4	0	4	-0,00610352	4	0
5	0	5	0	5	0,012207
6	0	6	0,0183105	6	0,00610352
7	-0,00610352	7	0,012207	7	0
8	0	8	0,012207	8	0
9	-0,00610352	9	0,00610352	9	-0,00610352
10	-0,00610352	10	0,012207	10	-0,00610352
11	0	11	-0,00610352	11	0,00610352
12	0,00610352	12	-0,00610352	12	0,00610352
13	0	13	-0,00610352	13	0,00610352
14	-0,00610352	14	0,0244141	14	0
15	-0,00610352	15	0,00610352	15	0,012207
16	0	16	-0,012207	16	0,00610352
17	0,00610352	17	0,00610352	17	0,012207
18	0,00610352	18	0,012207	18	0,012207
19	0	19	0	19	0
20	-0,00610352	20	0,00610352	20	0,00610352
21	0	21	0	21	0
22	0	22	0,012207	22	0,00610352
23	-0,00610352	23	0,0244141	23	-0,00610352
24	0	24	0,012207	24	0,00610352
25	-0,00610352	25	0	25	-0,00610352
26	0	26	0	26	0,012207
27	0	27	-0,00610352	27	0,00610352
28	-0,00610352	28	0	28	0,00610352
29	0	29	0,00610352	29	0,00610352
30	-0,00610352	30	0,0244141	30	0,00610352
31	-0,00610352	31	0,012207	31	0,0183105
32	0	32	0,00610352	32	0,00610352
33	-0,00610352	33	0,012207	33	0,00610352
34	0	34	0,00610352	34	0
35	-0,012207	35	-0,00610352	35	0,00610352
36	0	36	0,00610352	36	0
37	0,00610352	37	0,0244141	37	0,012207
38	0	38	0,0183105	38	-0,00610352
39	0	39	-0,00610352	39	0,012207
40	0	40	0,00610352	40	0,012207
41	0	41	-0,00610352	41	0,012207
42	0	42	0	42	0,00610352
43	0	43	-0,00610352	43	0,00610352
44	0	44	0	44	0,00610352
45	-0,00610352	45	0,012207	45	0,012207
46	-0,00610352	46	0,0183105	46	0,012207
47	-0,00610352	47	0,012207	47	0
48	0	48	0,00610352	48	0,0183105
49	0	49	-0,00610352	49	0,00610352
50	-0,012207	50	0	50	0,012207
51	-0,00610352	51	0	51	0
52	0,00610352	52	0,00610352	52	0,00610352
53	0	53	0,012207	53	0,012207
54	0,00610352	54	0,00610352	54	0
55	-0,00610352	55	0,00610352	55	0,00610352
56	-0,00610352	56	0,0183105	56	0,00610352
57	0,00610352	57	0,00610352	57	0
58	0	58	-0,00610352	58	0
