Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2
0	0	0	0,0732422	0	0
1	-0,012207	1	0,0488281	1	0,012207
2	0	2	0,0427246	2	-0,00610352
3	0,00610352	3	0,00610352	3	0,012207
4	0	4	-0,0183105	4	0
5	0	5	-0,0549316	5	0
6	0	6	-0,0671387	6	0,00610352
7	-0,00610352	7	-0,0671387	7	0,012207
8	0	8	-0,0488281	8	-0,00610352
9	-0,00610352	9	-0,0244141	9	0,012207
10	-0,012207	10	0,012207	10	0
11	-0,00610352	11	0,0549316	11	0,00610352
12	0	12	0,0732422	12	0,012207
13	0	13	0,0305176	13	0,012207
14	0,00610352	14	0,012207	14	0,012207
15	0	15	-0,0183105	15	0
16	-0,012207	16	-0,0488281	16	0,00610352
17	-0,00610352	17	-0,0427246	17	0,00610352
18	0	18	-0,0183105	18	0,00610352
19	0,00610352	19	0,0671387	19	0,00610352
20	0,00610352	20	0,128174	20	0,00610352
21	0	21	0,177002	21	0,00610352
22	0	22	0,170898	22	0,00610352
23	0,012207	23	0,128174	23	0,00610352
24	0,170898	24	4,73633	24	0,00610352
25	-0,0305176	25	-0,90332	25	0
26	-0,0427246	26	-2,17285	26	0
27	-0,0244141	27	-2,14233	27	0,00610352
28	-0,0244141	28	-1,41602	28	-0,00610352
29	0	29	-0,43335	29	0
30	0,00610352	30	0,518799	30	0,012207
31	0,0183105	31	1,26343	31	0,00610352
32	0,0183105	32	1,61133	32	-0,00610352
33	0,0183105	33	1,53809	33	0,00610352
34	0,00610352	34	1,07422	34	0
35	0,00610352	35	0,360107	35	0,00610352
36	-0,012207	36	-0,372314	36	0,00610352
37	-0,0244141	37	-0,909424	37	0,012207
38	-0,0183105	38	-1,11084	38	0,00610352
39	-0,0183105	39	-1,0376	39	0,00610352
40	-0,012207	40	-0,714111	40	0,012207
41	0	41	-0,256348	41	0,00610352
42	0	42	0,250244	42	0,012207
43	0,00610352	43	0,634766	43	-0,00610352
44	0,012207	44	0,817871	44	0
45	-0,00610352	45	0,762939	45	0
46	0	46	0,488281	46	0,00610352
47	-0,012207	47	0,0915527	47	0,00610352
48	-0,012207	48	-0,286865	48	0,0183105
49	-0,0244141	49	-0,549316	49	0
50	-0,00610352	50	-0,598145	50	0,012207
51	-0,012207	51	-0,482178	51	0,00610352
52	-0,012207	52	-0,286865	52	0
53	0	53	-0,012207	53	0
54	0	54	0,250244	54	0,012207
55	0	55	0,408936	55	0,00610352
56	0	56	0,415039	56	0
57	-0,00610352	57	0,299072	57	0,012207
58	0,00610352	58	0,146484	58	0,012207
59	0	59	-0,0732422	59	0,00610352
60	-0,00610352	60	-0,250244	60	0,00610352
61	-0,00610352	61	-0,32959	61	0
62	-0,012207	62	-0,292969	62	0
63	0	63	-0,195312	63	0
64	-0,00610352	64	-0,0549316	64	0
65	-0,00610352	65	0,0976562	65	0
66	0	66	0,219727	66	0
67	0,012207	67	0,250244	67	0
68	0	68	0,219727	68	0,00610352
69	0,012207	69	0,0976562	69	0,012207
70	-0,012207	70	-0,0244141	70	0,00610352
71	-0,012207	71	-0,146484	71	0,00610352
72	0	72	-0,201416	72	0
73	-0,00610352	73	-0,201416	73	0
74	-0,0183105	74	-0,128174	74	0,012207
75	0	75	-0,0427246	75	0,012207
76	0	76	0,0610352	76	0,00610352
77	0,00610352	77	0,128174	77	0
78	0,00610352	78	0,146484	78	0,00610352
79	-0,00610352	79	0,109863	79	0,012207
80	-0,012207	80	0,0366211	80	0,00610352
81	-0,00610352	81	-0,0366211	81	0,00610352
82	0	82	-0,0976562	82	0,012207
83	-0,00610352	83	-0,128174	83	0,00610352
84	0	84	-0,12207	84	0
85	-0,012207	85	-0,262451	85	0
86	0	86	-0,500488	86	0,012207
87	0	87	-0,732422	87	0,00610352
88	0	88	-0,958252	88	0
89	0,00610352	89	-1,13525	89	0,012207
90	0	90	-1,28174	90	0,012207
91	0,012207	91	-1,3916	91	0,00610352
92	0	92	-1,45264	92	0,0183105
93	-0,00610352	93	-1,47705	93	0,00610352
94	-0,00610352	94	-1,42822	94	0,00610352
95	-0,012207	95	-1,33667	95	0,00610352
96	0	96	-1,19019	96	0,00610352
97	-0,00610352	97	-1,02539	97	0,00610352
98	0,00610352	98	-0,830078	98	0,00610352
99	-0,00610352	99	-0,67749	99	0,012207
100	0	100	-0,488281	100	-0,00610352
101	-0,012207	101	-0,317383	101	0,012207
102	0	102	-0,158691	102	0
103	-0,00610352	103	-0,0183105	103	0
104	0	104	0,12207	104	0,00610352
105	-0,00610352	105	0,238037	105	0,00610352
106	-0,00610352	106	0,378418	106	0
107	-0,00610352	107	0,463867	107	0,012207
108	-0,00610352	108	0,543213	108	0,012207
109	-0,00610352	109	0,567627	109	-0,00610352
110	-0,00610352	110	0,616455	110	0
111	0	111	0,598145	111	0,00610352
112	-0,00610352	112	0,567627	112	0
113	-0,00610352	113	0,524902	113	0,0183105
114	-0,00610352	114	0,482178	114	0
115	-0,0183105	115	0,378418	115	0,012207
116	0	116	0,299072	116	-0,00610352
117	-0,0183105	117	0,238037	117	-0,00610352
118	0	118	0,158691	118	0,012207
119	-0,0183105	119	0,0732422	119	0,00610352
120	0	120	0,012207	120	0
121	-0,00610352	121	-0,0488281	121	0
122	-0,00610352	122	-0,10376	122	0
123	0,00610352	123	-0,183105	123	0,00610352
124	-0,00610352	124	-0,231934	124	0,00610352
125	-0,00610352	125	-0,256348	125	0,0183105
126	-0,00610352	126	-0,292969	126	0,00610352
127	-0,177002	127	0,891113	127	0,00610352
128	0,0915527	128	0,0244141	128	0,00610352
129	0,0427246	129	1,62964	129	0,00610352
130	0,0671387	130	2,28882	130	0,012207
131	0,0427246	131	2,48413	131	0
132	0,0183105	132	2,34985	132	0
133	-0,00610352	133	2,02026	133	0,00610352
134	-0,0244141	134	1,5564	134	0,012207
135	-0,0305176	135	-1,03149	135	0,012207
136	-0,0305176	136	-1,83716	136	0
137	-0,0305176	137	-1,93481	137	0,00610352
138	-0,0244141	138	-1,54419	138	0,012207
139	-0,00610352	139	-0,823975	139	0,00610352
140	-0,00610352	140	0,012207	140	0
141	0	141	0,738525	141	0
142	0,012207	142	1,19629	142	0,00610352
143	0,012207	143	1,33667	143	0
144	0,00610352	144	1,12915	144	0
145	0	145	0,695801	145	0
146	0	146	0,12207	146	0
147	-0,012207	147	-0,421143	147	0,00610352
148	-0,00610352	148	-0,830078	148	-0,00610352
149	-0,012207	149	-0,976562	149	0,012207
150	-0,012207	150	-0,878906	150	0,00610352
151	-0,012207	151	-0,549316	151	0
152	0	152	-0,109863	152	0,0183105
153	0,012207	153	0,311279	153	0,012207
154	0,0183105	154	0,604248	154	0
155	0,00610352	155	0,695801	155	0,00610352
156	0,00610352	156	0,604248	156	0,00610352
157	-0,012207	157	0,366211	157	0,00610352
158	-0,012207	158	0,0793457	158	0
159	-0,012207	159	-0,231934	159	0,00610352
160	-0,00610352	160	-0,469971	160	0,00610352
161	-0,00610352	161	-0,549316	161	0
162	-0,012207	162	-0,457764	162	0,00610352
163	0,00610352	163	-0,268555	163	0,00610352
164	0	164	-0,012207	164	0,00610352
165	0	165	0,22583	165	0,00610352
166	-0,00610352	166	0,366211	166	0,012207
167	0	167	0,372314	167	0,00610352
168	0	168	0,292969	168	0
169	0	169	0,128174	169	0,00610352
170	0	170	-0,0183105	170	0
171	-0,00610352	171	-0,213623	171	0,00610352
172	-0,0183105	172	-0,305176	172	0,00610352
173	-0,00610352	173	-0,292969	173	0,00610352
174	-0,00610352	174	-0,201416	174	0,00610352
175	-0,00610352	175	-0,0671387	175	0,00610352
176	0	176	0,0671387	176	-0,00610352
177	0,00610352	177	0,170898	177	0,00610352
178	0,00610352	178	0,213623	178	0,00610352
179	0,00610352	179	0,177002	179	0,0183105
180	-0,00610352	180	0,0976562	180	0
181	0	181	-0,00610352	181	0,00610352
182	-0,012207	182	-0,0915527	182	0,012207
183	0	183	-0,177002	183	0
184	-0,012207	184	-0,170898	184	0,00610352
185	-0,00610352	185	-0,10376	185	0,012207
186	-0,012207	186	-0,0427246	186	0,00610352
187	-0,00610352	187	0,0244141	187	0,00610352
188	-0,00610352	188	0,109863	188	0
189	-0,012207	189	0,146484	189	0
190	0	190	0,115967	190	0,012207
191	0	191	0,0854492	191	0,012207
192	-0,00610352	192	0	192	0,00610352
193	-0,00610352	193	-0,0549316	193	0
194	-0,00610352	194	-0,115967	194	0,00610352
195	0	195	-0,12207	195	0,00610352
196	0	196	-0,0976562	196	0,012207
197	-0,00610352	197	-0,0244141	197	0,00610352
198	-0,012207	198	0,0244141	198	0,00610352
199	0	199	0,0671387	199	-0,00610352
200	0,00610352	200	0,0915527	200	0
201	-0,00610352	201	0,0793457	201	0,00610352
202	0	202	0,0366211	202	0,00610352
203	-0,012207	203	-0,00610352	203	0,00610352
