Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2
0	-53,7109	0	307,617	0	-1,2207
1	-64,6973	1	307,617	1	0
2	-78,125	2	307,617	2	-1,2207
3	-84,2285	3	307,617	3	-2,44141
4	-85,4492	4	307,617	4	-1,2207
5	-79,3457	5	307,617	5	-1,2207
6	-65,918	6	307,617	6	-2,44141
7	-52,4902	7	307,617	7	-2,44141
8	-36,6211	8	307,617	8	-1,2207
9	-20,752	9	308,838	9	-1,2207
10	-4,88281	10	307,617	10	-1,2207
11	0	11	308,838	11	-1,2207
12	1,2207	12	307,617	12	-1,2207
13	0	13	308,838	13	0
14	1,2207	14	307,617	14	0
15	0	15	307,617	15	-1,2207
16	2,44141	16	307,617	16	-3,66211
17	1,2207	17	307,617	17	-1,2207
18	0	18	307,617	18	0
19	0	19	308,838	19	-1,2207
20	1,2207	20	307,617	20	-1,2207
21	0	21	307,617	21	-1,2207
22	0	22	307,617	22	-2,44141
23	0	23	308,838	23	-4,88281
24	0	24	307,617	24	-2,44141
25	1,2207	25	307,617	25	-2,44141
26	3,66211	26	307,617	26	-2,44141
27	-1,2207	27	307,617	27	-2,44141
28	1,2207	28	306,396	28	0
29	2,44141	29	307,617	29	0
30	0	30	307,617	30	0
31	-1,2207	31	307,617	31	-1,2207
32	0	32	307,617	32	-2,44141
33	1,2207	33	307,617	33	-2,44141
34	0	34	308,838	34	-1,2207
35	1,2207	35	306,396	35	-1,2207
36	1,2207	36	307,617	36	0
37	-1,2207	37	308,838	37	-1,2207
38	-1,2207	38	308,838	38	-1,2207
39	1,2207	39	308,838	39	-1,2207
40	0	40	307,617	40	-1,2207
41	0	41	306,396	41	-1,2207
42	0	42	307,617	42	-2,44141
43	0	43	308,838	43	-1,2207
44	2,44141	44	308,838	44	-1,2207
45	1,2207	45	307,617	45	-1,2207
46	0	46	307,617	46	0
47	1,2207	47	306,396	47	-3,66211
48	-1,2207	48	307,617	48	-2,44141
49	-2,44141	49	307,617	49	-2,44141
50	3,66211	50	307,617	50	0
51	2,44141	51	307,617	51	-2,44141
52	0	52	307,617	52	0
53	0	53	306,396	53	-1,2207
54	1,2207	54	307,617	54	-2,44141
55	1,2207	55	307,617	55	-2,44141
56	1,2207	56	307,617	56	-3,66211
57	1,2207	57	308,838	57	-1,2207
58	0	58	310,059	58	-1,2207
59	-1,2207	59	308,838	59	-1,2207
60	-2,44141	60	307,617	60	-1,2207
61	-1,2207	61	308,838	61	-1,2207
62	-1,2207	62	307,617	62	-2,44141
63	1,2207	63	307,617	63	-2,44141
64	0	64	307,617	64	-2,44141
65	1,2207	65	307,617	65	1,2207
66	1,2207	66	307,617	66	-2,44141
67	0	67	308,838	67	0
68	-1,2207	68	310,059	68	-1,2207
69	-2,44141	69	307,617	69	-1,2207
70	-3,66211	70	307,617	70	-1,2207
71	-2,44141	71	307,617	71	-1,2207
72	-4,88281	72	308,838	72	0
73	-4,88281	73	308,838	73	-2,44141
74	-6,10352	74	307,617	74	-2,44141
75	-4,88281	75	307,617	75	0
76	-4,88281	76	307,617	76	-1,2207
77	-3,66211	77	310,059	77	-2,44141
78	-6,10352	78	307,617	78	0
79	-2,44141	79	307,617	79	-2,44141
80	-6,10352	80	307,617	80	0
81	-4,88281	81	307,617	81	-1,2207
82	-2,44141	82	308,838	82	-1,2207
83	-6,10352	83	307,617	83	-2,44141
84	-4,88281	84	307,617	84	-1,2207
85	-7,32422	85	307,617	85	0
86	-6,10352	86	307,617	86	-2,44141
87	-4,88281	87	307,617	87	1,2207
88	-6,10352	88	307,617	88	-1,2207
89	-4,88281	89	307,617	89	0
90	-4,88281	90	307,617	90	-1,2207
91	-3,66211	91	307,617	91	-3,66211
92	-4,88281	92	308,838	92	0
93	-2,44141	93	310,059	93	0
94	-6,10352	94	308,838	94	-1,2207
95	-3,66211	95	308,838	95	-3,66211
96	-3,66211	96	306,396	96	-1,2207
97	-4,88281	97	307,617	97	-3,66211
98	-4,88281	98	307,617	98	-2,44141
99	-4,88281	99	307,617	99	0
100	-4,88281	100	310,059	100	-1,2207
101	-4,88281	101	307,617	101	-1,2207
102	-3,66211	102	308,838	102	-1,2207
103	-2,44141	103	306,396	103	-1,2207
104	-2,44141	104	308,838	104	-1,2207
105	-4,88281	105	307,617	105	-3,66211
106	-4,88281	106	308,838	106	0
107	-2,44141	107	308,838	107	1,2207
108	-4,88281	108	307,617	108	1,2207
109	-2,44141	109	308,838	109	0
110	-6,10352	110	307,617	110	-2,44141
111	-3,66211	111	307,617	111	-3,66211
112	-6,10352	112	307,617	112	1,2207
113	-7,32422	113	307,617	113	0
114	-6,10352	114	308,838	114	-1,2207
