Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2
0	-2,44141	0	307,617	0	-1,2207
1	-2,44141	1	307,617	1	-1,2207
2	-1,2207	2	308,838	2	-3,66211
3	-1,2207	3	308,838	3	0
4	0	4	308,838	4	-2,44141
5	-1,2207	5	310,059	5	-1,2207
6	-3,66211	6	308,838	6	-2,44141
7	-3,66211	7	307,617	7	-1,2207
8	-3,66211	8	308,838	8	-2,44141
9	-4,88281	9	310,059	9	-1,2207
10	-1,2207	10	307,617	10	-2,44141
11	-1,2207	11	307,617	11	0
12	-1,2207	12	308,838	12	-2,44141
13	-1,2207	13	307,617	13	-1,2207
14	-2,44141	14	307,617	14	-2,44141
15	-1,2207	15	308,838	15	-3,66211
16	-3,66211	16	306,396	16	-1,2207
17	-2,44141	17	308,838	17	-1,2207
18	-1,2207	18	308,838	18	-1,2207
19	-2,44141	19	307,617	19	-1,2207
20	0	20	307,617	20	-2,44141
21	-4,88281	21	308,838	21	-2,44141
22	-2,44141	22	307,617	22	-3,66211
23	-2,44141	23	307,617	23	0
24	-4,88281	24	308,838	24	1,2207
25	-2,44141	25	307,617	25	-1,2207
26	-2,44141	26	307,617	26	-1,2207
27	-2,44141	27	307,617	27	-2,44141
28	-1,2207	28	310,059	28	-2,44141
29	-3,66211	29	307,617	29	-1,2207
30	-3,66211	30	308,838	30	-3,66211
31	-1,2207	31	307,617	31	-1,2207
32	-3,66211	32	308,838	32	-1,2207
33	-2,44141	33	307,617	33	-2,44141
34	-1,2207	34	307,617	34	-3,66211
35	-1,2207	35	308,838	35	-2,44141
36	0	36	308,838	36	-2,44141
37	-2,44141	37	308,838	37	-1,2207
38	-1,2207	38	307,617	38	-1,2207
39	-1,2207	39	308,838	39	-1,2207
40	-2,44141	40	308,838	40	-1,2207
41	-1,2207	41	307,617	41	-2,44141
42	-1,2207	42	307,617	42	-1,2207
43	-2,44141	43	307,617	43	0
44	-3,66211	44	308,838	44	-1,2207
45	-1,2207	45	307,617	45	-1,2207
46	-1,2207	46	308,838	46	-1,2207
47	-2,44141	47	308,838	47	-1,2207
48	-2,44141	48	307,617	48	-2,44141
49	-1,2207	49	310,059	49	-1,2207
50	-3,66211	50	308,838	50	-1,2207
51	-2,44141	51	308,838	51	-2,44141
52	-1,2207	52	307,617	52	-2,44141
53	-1,2207	53	307,617	53	-1,2207
54	0	54	310,059	54	-1,2207
55	-1,2207	55	308,838	55	-1,2207
56	-3,66211	56	307,617	56	-3,66211
57	-2,44141	57	308,838	57	-3,66211
58	-2,44141	58	307,617	58	-3,66211
59	-2,44141	59	308,838	59	-1,2207
60	-2,44141	60	307,617	60	-2,44141
61	-1,2207	61	308,838	61	-1,2207
62	-2,44141	62	307,617	62	-3,66211
63	-2,44141	63	307,617	63	-1,2207
64	-2,44141	64	307,617	64	-1,2207
65	-1,2207	65	308,838	65	-3,66211
66	-2,44141	66	307,617	66	-2,44141
67	-2,44141	67	307,617	67	-1,2207
68	-1,2207	68	307,617	68	-1,2207
69	-1,2207	69	307,617	69	-2,44141
70	-3,66211	70	311,279	70	-1,2207
