Time - Plot 0	Amplitude - Plot 0	Time - Plot 1	Amplitude - Plot 1	Time - Plot 2	Amplitude - Plot 2
0	1,2207	0	306,396	0	-1,2207
1	-1,2207	1	306,396	1	-2,44141
2	1,2207	2	307,617	2	0
3	0	3	305,176	3	-1,2207
4	0	4	306,396	4	-2,44141
5	0	5	306,396	5	-2,44141
6	2,44141	6	307,617	6	-2,44141
7	1,2207	7	306,396	7	1,2207
8	-1,2207	8	307,617	8	-2,44141
9	0	9	307,617	9	-1,2207
10	2,44141	10	307,617	10	-1,2207
11	-1,2207	11	305,176	11	-2,44141
12	1,2207	12	306,396	12	-3,66211
13	1,2207	13	306,396	13	1,2207
14	0	14	305,176	14	-1,2207
15	0	15	307,617	15	-1,2207
16	-1,2207	16	305,176	16	0
17	-1,2207	17	305,176	17	-1,2207
18	1,2207	18	306,396	18	-1,2207
19	-2,44141	19	305,176	19	0
20	-9,76563	20	307,617	20	-2,44141
21	-21,9727	21	306,396	21	0
22	-34,1797	22	307,617	22	-1,2207
23	-46,3867	23	307,617	23	1,2207
24	-335,693	24	307,617	24	-3,66211
25	-311,279	25	306,396	25	0
26	-308,838	26	305,176	26	-1,2207
27	-305,176	27	305,176	27	-1,2207
28	-308,838	28	306,396	28	0
29	-307,617	29	305,176	29	-1,2207
30	-305,176	30	306,396	30	0
31	-303,955	31	307,617	31	-1,2207
32	-306,396	32	306,396	32	0
33	-305,176	33	306,396	33	-1,2207
34	-303,955	34	306,396	34	-2,44141
35	-306,396	35	306,396	35	-1,2207
36	-306,396	36	303,955	36	-1,2207
37	-305,176	37	305,176	37	0
38	-305,176	38	306,396	38	-1,2207
39	-306,396	39	305,176	39	1,2207
40	-307,617	40	305,176	40	-1,2207
41	-307,617	41	307,617	41	-1,2207
42	-305,176	42	306,396	42	-2,44141
43	-306,396	43	306,396	43	0
44	-306,396	44	306,396	44	1,2207
45	-305,176	45	306,396	45	0
46	-305,176	46	307,617	46	-1,2207
47	-307,617	47	307,617	47	0
48	-305,176	48	306,396	48	-1,2207
49	-306,396	49	307,617	49	-1,2207
50	-306,396	50	306,396	50	0
51	-306,396	51	305,176	51	0
52	-305,176	52	306,396	52	-2,44141
53	-305,176	53	306,396	53	0
54	-305,176	54	306,396	54	0
55	-305,176	55	306,396	55	-2,44141
56	-305,176	56	306,396	56	1,2207
57	-306,396	57	306,396	57	-1,2207
58	-306,396	58	306,396	58	-1,2207
59	-306,396	59	307,617	59	0
60	-305,176	60	306,396	60	0
61	-307,617	61	307,617	61	0
62	-305,176	62	306,396	62	-1,2207
63	-305,176	63	305,176	63	-1,2207
64	-305,176	64	306,396	64	-1,2207
65	-305,176	65	306,396	65	-1,2207
66	-306,396	66	303,955	66	-1,2207
67	-303,955	67	306,396	67	1,2207
68	-306,396	68	307,617	68	-1,2207
69	-305,176	69	306,396	69	1,2207
70	-305,176	70	305,176	70	0
71	-305,176	71	306,396	71	-1,2207
72	-305,176	72	307,617	72	-1,2207
73	-306,396	73	305,176	73	-1,2207
74	-305,176	74	307,617	74	0
75	-306,396	75	305,176	75	0
76	-303,955	76	307,617	76	-1,2207
77	-305,176	77	305,176	77	-1,2207
78	-305,176	78	307,617	78	-1,2207
79	-305,176	79	307,617	79	0
80	-303,955	80	306,396	80	0
81	-307,617	81	306,396	81	0
82	-306,396	82	307,617	82	-1,2207
83	-303,955	83	306,396	83	0
84	-306,396	84	306,396	84	-1,2207
85	-307,617	85	306,396	85	-1,2207
86	-305,176	86	305,176	86	0
87	-306,396	87	306,396	87	0
88	-305,176	88	306,396	88	0
