t	PL(A)	PL(B)	PL(T)	PL(E)	V(A)	V(B)	V(E)	I(A)	I(B)	I(E)	n_bracos	n_res
27,040	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	1000
0,006	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	1000
1,006	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	1000
2,006	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	1000
3,006	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	1000
4,006	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	1000
5,006	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	1000
6,005	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	1000
7,006	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	1000
8,006	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	1000
9,007	0,000	0,000	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	0,000E+0	7	1000
10,007	0,000	0,300	3,000E-1	0,000E+0	2,190E+0	1,804E+1	0,000E+0	5,020E-2	1,936E-1	0,000E+0	7	1000
11,007	25,500	29,400	5,490E+1	0,000E+0	2,805E+1	4,987E+1	0,000E+0	3,574E+0	3,769E+0	0,000E+0	7	1000
12,007	41,500	57,200	9,870E+1	0,000E+0	9,841E+1	6,005E+1	0,000E+0	2,496E+0	5,249E+0	0,000E+0	7	1000
13,006	32,500	38,100	7,060E+1	0,000E+0	1,316E+2	1,320E+2	0,000E+0	5,760E-1	5,696E-1	0,000E+0	7	1000
14,008	32,500	38,100	7,060E+1	0,000E+0	1,316E+2	1,320E+2	0,000E+0	5,760E-1	5,696E-1	0,000E+0	7	1000
15,008	10,700	10,200	2,090E+1	0,000E+0	1,747E+2	1,748E+2	0,000E+0	1,048E-1	1,040E-1	0,000E+0	7	1000
16,008	11,200	10,400	2,160E+1	0,000E+0	1,635E+2	1,636E+2	0,000E+0	1,216E-1	1,206E-1	0,000E+0	7	1000
17,008	18,700	17,400	3,610E+1	0,000E+0	1,698E+2	1,698E+2	0,000E+0	1,806E-1	1,783E-1	0,000E+0	7	1000
18,008	18,700	17,400	3,610E+1	0,000E+0	1,698E+2	1,698E+2	0,000E+0	1,806E-1	1,783E-1	0,000E+0	7	1000
19,009	15,400	14,400	2,980E+1	0,000E+0	1,724E+2	1,721E+2	0,000E+0	1,489E-1	1,469E-1	0,000E+0	7	1000
20,008	15,400	14,400	2,980E+1	0,000E+0	1,724E+2	1,721E+2	0,000E+0	1,489E-1	1,469E-1	0,000E+0	7	1000
21,009	15,000	14,000	2,900E+1	0,000E+0	1,711E+2	1,710E+2	0,000E+0	1,473E-1	1,450E-1	0,000E+0	7	1000
22,009	14,800	13,900	2,870E+1	0,000E+0	1,714E+2	1,715E+2	0,000E+0	1,446E-1	1,430E-1	0,000E+0	7	1000
23,010	14,500	13,600	2,810E+1	0,000E+0	1,709E+2	1,710E+2	0,000E+0	1,425E-1	1,410E-1	0,000E+0	7	1000
24,010	14,700	13,800	2,850E+1	0,000E+0	1,711E+2	1,710E+2	0,000E+0	1,449E-1	1,424E-1	0,000E+0	7	1000
25,011	14,800	13,800	2,860E+1	0,000E+0	1,713E+2	1,711E+2	0,000E+0	1,447E-1	1,430E-1	0,000E+0	7	1000
26,011	14,900	13,900	2,880E+1	0,000E+0	1,713E+2	1,711E+2	0,000E+0	1,458E-1	1,436E-1	0,000E+0	7	1000
27,011	15,000	13,900	2,890E+1	0,000E+0	1,713E+2	1,712E+2	0,000E+0	1,462E-1	1,436E-1	0,000E+0	7	1000
28,011	15,100	13,900	2,900E+1	0,000E+0	1,715E+2	1,708E+2	0,000E+0	1,472E-1	1,444E-1	0,000E+0	7	1000
29,011	15,000	14,100	2,910E+1	0,000E+0	1,714E+2	1,715E+2	0,000E+0	1,462E-1	1,448E-1	0,000E+0	7	1000
30,012	15,000	14,100	2,910E+1	0,000E+0	1,714E+2	1,715E+2	0,000E+0	1,462E-1	1,448E-1	0,000E+0	7	1000
31,012	14,800	13,800	2,860E+1	0,000E+0	1,712E+2	1,712E+2	0,000E+0	1,450E-1	1,429E-1	0,000E+0	7	1000
32,013	14,800	13,800	2,860E+1	0,000E+0	1,713E+2	1,710E+2	0,000E+0	1,451E-1	1,428E-1	0,000E+0	7	1000
33,013	14,700	13,800	2,850E+1	0,000E+0	1,712E+2	1,711E+2	0,000E+0	1,448E-1	1,430E-1	0,000E+0	7	1000
34,013	14,900	13,900	2,880E+1	0,000E+0	1,715E+2	1,712E+2	0,000E+0	1,456E-1	1,433E-1	0,000E+0	7	1000
35,013	14,800	13,800	2,860E+1	0,000E+0	1,711E+2	1,711E+2	0,000E+0	1,450E-1	1,428E-1	0,000E+0	7	1000
36,014	14,700	13,900	2,860E+1	0,000E+0	1,710E+2	1,711E+2	0,000E+0	1,447E-1	1,429E-1	0,000E+0	7	1000
37,015	14,600	13,700	2,830E+1	0,000E+0	1,712E+2	1,711E+2	0,000E+0	1,429E-1	1,415E-1	0,000E+0	7	1000
38,015	14,700	13,600	2,830E+1	0,000E+0	1,713E+2	1,708E+2	0,000E+0	1,439E-1	1,416E-1	0,000E+0	7	1000
39,015	14,800	13,900	2,870E+1	0,000E+0	1,712E+2	1,713E+2	0,000E+0	1,451E-1	1,435E-1	0,000E+0	7	1000
40,016	14,800	13,800	2,860E+1	0,000E+0	1,714E+2	1,711E+2	0,000E+0	1,449E-1	1,430E-1	0,000E+0	7	1000
41,016	14,800	13,900	2,870E+1	0,000E+0	1,712E+2	1,711E+2	0,000E+0	1,452E-1	1,432E-1	0,000E+0	7	1000
42,017	14,800	13,900	2,870E+1	0,000E+0	1,712E+2	1,711E+2	0,000E+0	1,452E-1	1,432E-1	0,000E+0	7	1000
43,018	14,600	13,700	2,830E+1	0,000E+0	1,712E+2	1,711E+2	0,000E+0	1,433E-1	1,415E-1	0,000E+0	7	1000
44,019	14,700	13,800	2,850E+1	0,000E+0	1,714E+2	1,711E+2	0,000E+0	1,447E-1	1,426E-1	0,000E+0	7	1000
45,019	14,800	13,700	2,850E+1	0,000E+0	1,713E+2	1,712E+2	0,000E+0	1,447E-1	1,426E-1	0,000E+0	7	1000
46,020	14,800	13,800	2,860E+1	0,000E+0	1,712E+2	1,711E+2	0,000E+0	1,448E-1	1,428E-1	0,000E+0	7	1000
47,020	14,800	13,800	2,860E+1	0,000E+0	1,715E+2	1,712E+2	0,000E+0	1,451E-1	1,431E-1	0,000E+0	7	1000
48,020	14,800	13,800	2,860E+1	0,000E+0	1,715E+2	1,712E+2	0,000E+0	1,451E-1	1,431E-1	0,000E+0	7	1000
49,020	15,000	14,000	2,900E+1	0,000E+0	1,714E+2	1,712E+2	0,000E+0	1,464E-1	1,444E-1	0,000E+0	7	1000
50,020	14,700	13,700	2,840E+1	0,000E+0	1,714E+2	1,713E+2	0,000E+0	1,449E-1	1,429E-1	0,000E+0	7	1000
51,020	14,700	13,700	2,840E+1	0,000E+0	1,712E+2	1,712E+2	0,000E+0	1,444E-1	1,426E-1	0,000E+0	7	1000
52,020	14,900	13,900	2,880E+1	0,000E+0	1,716E+2	1,712E+2	0,000E+0	1,460E-1	1,437E-1	0,000E+0	7	1000
53,021	14,600	13,700	2,830E+1	0,000E+0	1,714E+2	1,714E+2	0,000E+0	1,438E-1	1,417E-1	0,000E+0	7	1000
54,022	14,600	13,700	2,830E+1	0,000E+0	1,714E+2	1,714E+2	0,000E+0	1,438E-1	1,417E-1	0,000E+0	7	1000
55,022	14,500	13,600	2,810E+1	0,000E+0	1,714E+2	1,714E+2	0,000E+0	1,431E-1	1,412E-1	0,000E+0	7	1000
56,022	14,700	13,900	2,860E+1	0,000E+0	1,712E+2	1,713E+2	0,000E+0	1,450E-1	1,434E-1	0,000E+0	7	1000
57,023	14,700	13,900	2,860E+1	0,000E+0	1,712E+2	1,713E+2	0,000E+0	1,450E-1	1,434E-1	0,000E+0	7	1000
58,023	14,600	13,700	2,830E+1	0,000E+0	1,712E+2	1,712E+2	0,000E+0	1,433E-1	1,418E-1	0,000E+0	7	1000
59,023	14,600	13,700	2,830E+1	0,000E+0	1,712E+2	1,712E+2	0,000E+0	1,433E-1	1,418E-1	0,000E+0	7	1000
60,023	14,800	13,800	2,860E+1	0,000E+0	1,713E+2	1,711E+2	0,000E+0	1,450E-1	1,433E-1	0,000E+0	7	1000
61,024	14,700	13,800	2,850E+1	0,000E+0	1,714E+2	1,714E+2	0,000E+0	1,441E-1	1,425E-1	0,000E+0	7	1000
62,024	14,500	13,600	2,810E+1	0,000E+0	1,712E+2	1,712E+2	0,000E+0	1,433E-1	1,410E-1	0,000E+0	7	1000
63,024	14,700	13,700	2,840E+1	0,000E+0	1,712E+2	1,711E+2	0,000E+0	1,440E-1	1,416E-1	0,000E+0	7	1000
64,024	14,700	13,700	2,840E+1	0,000E+0	1,712E+2	1,711E+2	0,000E+0	1,441E-1	1,416E-1	0,000E+0	7	1000
65,024	14,500	13,600	2,810E+1	0,000E+0	1,710E+2	1,711E+2	0,000E+0	1,424E-1	1,409E-1	0,000E+0	7	1000
66,025	14,900	13,800	2,870E+1	0,000E+0	1,714E+2	1,713E+2	0,000E+0	1,457E-1	1,429E-1	0,000E+0	7	1000
67,025	14,900	14,000	2,890E+1	0,000E+0	1,712E+2	1,713E+2	0,000E+0	1,462E-1	1,441E-1	0,000E+0	7	1000
68,025	14,900	13,900	2,880E+1	0,000E+0	1,714E+2	1,714E+2	0,000E+0	1,459E-1	1,439E-1	0,000E+0	7	1000
69,025	14,700	13,800	2,850E+1	0,000E+0	1,713E+2	1,712E+2	0,000E+0	1,447E-1	1,428E-1	0,000E+0	7	1000
70,025	14,700	13,800	2,850E+1	0,000E+0	1,713E+2	1,712E+2	0,000E+0	1,447E-1	1,428E-1	0,000E+0	7	1000
71,025	14,700	13,700	2,840E+1	0,000E+0	1,713E+2	1,711E+2	0,000E+0	1,445E-1	1,424E-1	0,000E+0	7	1000
72,025	14,700	13,700	2,840E+1	0,000E+0	1,715E+2	1,712E+2	0,000E+0	1,438E-1	1,420E-1	0,000E+0	7	1000
73,026	14,700	13,700	2,840E+1	0,000E+0	1,712E+2	1,710E+2	0,000E+0	1,442E-1	1,422E-1	0,000E+0	7	1000
74,027	14,700	13,700	2,840E+1	0,000E+0	1,712E+2	1,711E+2	0,000E+0	1,438E-1	1,419E-1	0,000E+0	7	1000
75,028	15,000	13,900	2,890E+1	0,000E+0	1,712E+2	1,712E+2	0,000E+0	1,465E-1	1,438E-1	0,000E+0	7	1000
76,028	14,800	13,700	2,850E+1	0,000E+0	1,713E+2	1,711E+2	0,000E+0	1,451E-1	1,424E-1	0,000E+0	7	1000
77,027	14,800	13,900	2,870E+1	0,000E+0	1,711E+2	1,713E+2	0,000E+0	1,454E-1	1,440E-1	0,000E+0	7	1000
78,028	14,900	13,800	2,870E+1	0,000E+0	1,713E+2	1,710E+2	0,000E+0	1,454E-1	1,430E-1	0,000E+0	7	1000
79,029	15,000	14,000	2,900E+1	0,000E+0	1,714E+2	1,711E+2	0,000E+0	1,467E-1	1,444E-1	0,000E+0	7	1000
80,029	15,000	14,000	2,900E+1	0,000E+0	1,714E+2	1,711E+2	0,000E+0	1,467E-1	1,444E-1	0,000E+0	7	1000
81,029	15,100	14,200	2,930E+1	0,000E+0	1,714E+2	1,714E+2	0,000E+0	1,479E-1	1,459E-1	0,000E+0	7	1000
82,029	14,800	14,000	2,880E+1	0,000E+0	1,716E+2	1,714E+2	0,000E+0	1,453E-1	1,438E-1	0,000E+0	7	1000
83,030	15,000	13,900	2,890E+1	0,000E+0	1,717E+2	1,716E+2	0,000E+0	1,468E-1	1,441E-1	0,000E+0	7	1000
84,030	14,900	13,900	2,880E+1	0,000E+0	1,713E+2	1,713E+2	0,000E+0	1,460E-1	1,442E-1	0,000E+0	7	1000
85,031	15,200	14,200	2,940E+1	0,000E+0	1,715E+2	1,713E+2	0,000E+0	1,485E-1	1,461E-1	0,000E+0	7	1000
86,031	15,200	14,300	2,950E+1	0,000E+0	1,712E+2	1,716E+2	0,000E+0	1,488E-1	1,465E-1	0,000E+0	7	1000
87,031	15,400	14,400	2,980E+1	0,000E+0	1,716E+2	1,713E+2	0,000E+0	1,505E-1	1,487E-1	0,000E+0	7	1000
88,031	15,400	14,300	2,970E+1	0,000E+0	1,719E+2	1,712E+2	0,000E+0	1,495E-1	1,472E-1	0,000E+0	7	1000
89,031	15,100	14,300	2,940E+1	0,000E+0	1,714E+2	1,715E+2	0,000E+0	1,482E-1	1,465E-1	0,000E+0	7	1000
90,032	15,300	14,300	2,960E+1	0,000E+0	1,716E+2	1,715E+2	0,000E+0	1,490E-1	1,467E-1	0,000E+0	7	1000
91,033	15,100	14,200	2,930E+1	0,000E+0	1,713E+2	1,714E+2	0,000E+0	1,480E-1	1,460E-1	0,000E+0	7	1000
92,033	15,200	14,200	2,940E+1	0,000E+0	1,715E+2	1,714E+2	0,000E+0	1,490E-1	1,464E-1	0,000E+0	7	1000
