t	IF	IR	VF	VR	VelSP	VelRE
2,007	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
0,008	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
1,008	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
2,008	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
3,009	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
4,008	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
5,009	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
6,009	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
7,010	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
8,010	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
9,009	0,000	0,080	3,000E-1	2,400E+1	0,000E+0	0,000E+0
