Amostra - V(A);Tensão (V) - V(A);Amostra - V(B);Tensão (V) - V(B);Amostra - V(E);Tensão (V) - V(E)
0;0,732422;0;310,913;0;0,732422
1;0,732422;1;312,195;1;0
2;1,09863;2;312,561;2;-0,732422
3;-1,09863;3;310,913;3;-0,732422
4;-40,2832;4;311,096;4;-0,366211
5;-112,061;5;312,195;5;-2,92969
6;-183,472;6;311,462;6;-2,19727
7;-160,767;7;310,181;7;-2,56348
8;-140,259;8;311,829;8;-2,19727
9;-151,245;9;311,646;9;-2,56348
10;-156,006;10;310,73;10;-2,56348
11;-13,916;11;310,73;11;0,732422
12;0,732422;12;312,012;12;1,09863
13;0,366211;13;310,913;13;0,366211
14;1,09863;14;310,547;14;0,366211
15;0,732422;15;312,012;15;0,366211
16;1,09863;16;311,462;16;0,366211
17;0,366211;17;310,73;17;0,366211
18;0,732422;18;311,829;18;0
19;1,09863;19;312,012;19;0
20;0,366211;20;310,73;20;-0,366211
21;-41,0156;21;311,829;21;0
22;-78,3691;22;312,378;22;-0,732422
23;-54,5654;23;311,096;23;-1,09863
24;-45,7764;24;311,462;24;-0,366211
25;-111,328;25;312,012;25;-3,66211
26;-189,697;26;311,096;26;-2,56348
27;-167,358;27;311,646;27;-2,92969
28;-142,456;28;312,195;28;-2,92969
29;-153,076;29;310,73;29;-2,92969
30;-160,034;30;312,012;30;-1,83105
31;-22,7051;31;312,012;31;1,09863
32;0,366211;32;310,547;32;0,366211
33;0,366211;33;312,195;33;0,732422
34;1,09863;34;311,829;34;0,366211
35;1,46484;35;311,279;35;-0,366211
36;0,732422;36;312,195;36;0,366211
37;1,46484;37;311,096;37;0
38;1,46484;38;310,913;38;0
39;0,732422;39;312,012;39;0
40;-2,19727;40;311,462;40;-1,46484
41;-64,8193;41;310,547;41;-0,732422
42;-83,8623;42;312,195;42;-0,366211
43;-49,8047;43;311,096;43;-1,46484
44;-45,4102;44;310,73;44;-0,732422
45;-113,892;45;311,462;45;-2,19727
46;-191,528;46;312,195;46;-2,56348
47;-169,189;47;310,364;47;-2,19727
48;-143,188;48;311,829;48;-2,56348
49;-154,907;49;312,195;49;-2,92969
50;-159,302;50;310,364;50;-2,19727
51;-31,4941;51;311,646;51;1,46484
52;1,09863;52;312,378;52;0,732422
53;0,732422;53;310,913;53;0,732422
54;1,46484;54;311,279;54;1,09863
55;1,46484;55;312,378;55;0,366211
56;1,09863;56;310,913;56;0,366211
57;1,46484;57;310,913;57;1,09863
58;0,366211;58;312,195;58;0
59;-0,366211;59;311,462;59;0,366211
60;-9,52148;60;310,913;60;0,366211
61;-77,6367;61;311,279;61;-0,366211
62;-83,1299;62;311,646;62;-1,09863
63;-46,1426;63;310,913;63;-0,732422
64;-46,5088;64;310,547;64;-0,732422
65;-116,455;65;310,913;65;-1,83105
66;-194,092;66;312,378;66;-2,56348
67;-169,922;67;310,73;67;-2,56348
68;-143,555;68;311,462;68;-3,2959
69;-155,273;69;312,195;69;-2,92969
70;-161,865;70;311,829;70;-2,92969
71;-43,9453;71;310,73;71;0,732422
72;0,366211;72;311,096;72;0
73;1,09863;73;312,012;73;0,732422
74;1,09863;74;311,279;74;0,732422
75;0,732422;75;310,73;75;0,732422
76;1,09863;76;310,913;76;0,732422
77;1,09863;77;311,829;77;0,732422
78;0,732422;78;311,646;78;0
79;0,732422;79;310,913;79;0
80;-12,8174;80;312,012;80;-0,366211
81;-79,834;81;311,646;81;-1,09863
82;-85,6934;82;311,279;82;-1,09863
83;-46,875;83;310,73;83;-1,09863
84;-45,0439;84;310,181;84;-0,732422
85;-116,821;85;310,913;85;-3,2959
86;-194,458;86;311,646;86;-2,56348
87;-174,683;87;311,646;87;-2,92969
88;-141,724;88;310,547;88;-1,46484
89;-154,907;89;311,096;89;-2,19727
90;-164,062;90;311,829;90;-1,83105
91;-54,1992;91;311,462;91;1,46484
92;0;92;310,913;92;0,366211
93;1,83105;93;311,096;93;0,732422
94;1,09863;94;311,646;94;0,366211
95;1,09863;95;312,012;95;0,366211
96;1,09863;96;310,547;96;0,732422
97;1,09863;97;310,547;97;0
98;0,732422;98;310,73;98;1,46484
99;0,366211;99;311,829;99;0,366211
100;-15,3809;100;312,012;100;0
101;-81,2988;101;312,195;101;-1,46484
102;-90,4541;102;310,913;102;-1,09863
103;-51,2695;103;310,364;103;0
104;-43,5791;104;311,646;104;-0,366211
105;-120,85;105;311,829;105;-4,02832
106;-199,951;106;311,829;106;-2,19727
107;-176,147;107;311,646;107;-2,56348
108;-144,653;108;310,364;108;-2,19727
109;-157,471;109;310,913;109;-2,92969
110;-166,626;110;311,646;110;-2,92969
111;-61,8896;111;311,829;111;1,09863
112;0,366211;112;312,195;112;0,366211
113;1,46484;113;311,462;113;0,366211
114;1,46484;114;311,096;114;0,732422
115;0,732422;115;311,096;115;1,46484
116;1,09863;116;311,646;116;0,366211
117;0,366211;117;311,279;117;1,46484
118;0,366211;118;311,279;118;0,732422
119;-7,69043;119;311,646;119;1,09863
120;-25,6348;120;312,195;120;0,366211
121;-73,9746;121;311,096;121;-1,09863
122;-95,9473;122;310,913;122;-0,732422
123;-63,7207;123;310,913;123;0
124;-45,0439;124;311,279;124;-0,366211
125;-124,878;125;312,195;125;-2,19727
126;-209,839;126;311,096;126;-2,92969
127;-185,669;127;311,279;127;-2,92969
128;-150,513;128;311,279;128;-2,56348
129;-163,696;129;311,462;129;-2,92969
130;-175,415;130;311,279;130;-2,56348
131;-75,4395;131;311,096;131;1,46484
132;0,732422;132;311,829;132;0,732422
133;0,732422;133;311,829;133;1,09863
134;0,732422;134;311,279;134;0,366211
135;-11,7187;135;311,646;135;1,09863
136;-20,874;136;311,462;136;0,732422
137;-16,1133;137;312,012;137;0,366211
138;-14,6484;138;311,462;138;0,366211
139;-17,5781;139;311,279;139;0,732422
140;-18,6768;140;311,829;140;0
141;-35,8887;141;311,462;141;0
142;-84,9609;142;311,462;142;-1,09863
143;-99,6094;143;311,279;143;-1,09863
144;-67,749;144;311,462;144;-0,366211
145;-125,61;145;310,913;145;-1,46484
146;-218,628;146;311,646;146;-2,56348
147;-204,712;147;311,096;147;-2,19727
148;-160,767;148;311,279;148;-2,92969
149;-172,852;149;311,646;149;-2,56348
150;-188,965;150;311,646;150;-2,19727
151;-91,1865;151;311,462;151;1,83105
152;0;152;311,646;152;1,09863
153;1,46484;153;311,646;153;1,46484
154;-27,0996;154;312,012;154;0,366211
155;-35,8887;155;311,646;155;1,09863
156;0,732422;156;311,279;156;-0,732422
157;2,56348;157;311,646;157;-1,83105
158;-0,366211;158;312,012;158;-2,92969
159;-37,7197;159;311,829;159;-2,92969
160;-112,061;160;311,646;160;-2,56348
161;-97,4121;161;311,646;161;-2,92969
162;-68,8477;162;311,829;162;-2,19727
163;-82,3975;163;312,012;163;-2,56348
164;-93,3838;164;311,462;164;-2,19727
165;-317,505;165;311,829;165;-4,02832
166;-310,547;166;312,195;166;-2,56348
167;-310,913;167;311,829;167;-2,19727
168;-310,181;168;312,195;168;-1,46484
169;-310,913;169;311,462;169;-1,46484
170;-310,547;170;311,829;170;-1,46484
171;2,92969;171;311,829;171;-4,02832
172;1,83105;172;311,646;172;-2,92969
173;0,366211;173;311,646;173;-1,83105
174;2,19727;174;311,462;174;-2,19727
175;1,09863;175;311,829;175;-2,56348
176;1,09863;176;311,829;176;-2,19727
177;1,09863;177;312,012;177;-2,56348
178;2,19727;178;311,829;178;-2,19727
179;1,83105;179;311,462;179;-2,19727
180;1,09863;180;311,462;180;-2,19727
181;1,09863;181;311,646;181;-2,19727
182;0,732422;182;312,195;182;-2,19727
183;-74,3408;183;311,646;183;-1,83105
184;-115,723;184;311,462;184;-1,46484
185;-315,674;185;312,195;185;-2,19727
186;-310,547;186;311,829;186;-2,56348
187;-310,181;187;311,829;187;-1,09863
188;-310,913;188;311,646;188;-1,46484
189;-310,547;189;311,646;189;-1,83105
190;-309,814;190;311,462;190;-1,46484
191;3,66211;191;311,462;191;-2,56348
192;1,83105;192;311,646;192;-1,46484
193;1,46484;193;311,829;193;-1,46484
194;1,46484;194;311,829;194;-2,19727
195;1,46484;195;311,829;195;-1,83105
196;1,83105;196;311,829;196;-1,83105
197;0,732422;197;311,829;197;-1,09863
198;1,09863;198;311,462;198;-1,46484
199;0,732422;199;311,829;199;-1,83105
200;1,09863;200;312,012;200;-1,83105
201;1,09863;201;311,829;201;-1,09863
202;0,732422;202;311,829;202;-1,46484
203;1,46484;203;311,829;203;-1,46484
204;-7,69043;204;311,646;204;-1,83105
205;-314,575;205;311,646;205;-1,09863
206;-310,547;206;311,462;206;-2,92969
207;-310,181;207;311,829;207;-1,09863
208;-310,913;208;312,378;208;-1,09863
209;-310,547;209;311,829;209;0
210;-310,181;210;311,646;210;0,366211
211;3,2959;211;311,462;211;-2,19727
212;1,09863;212;312,012;212;-1,09863
213;0,732422;213;312,195;213;-1,83105
214;1,09863;214;311,462;214;-1,46484
215;1,83105;215;311,829;215;-1,83105
216;1,46484;216;312,195;216;-1,09863
217;0,732422;217;311,646;217;-1,46484
218;1,09863;218;311,462;218;-1,09863
219;0,732422;219;311,646;219;-1,09863
220;1,09863;220;311,829;220;-1,09863
221;0,732422;221;311,829;221;-0,732422
222;0,732422;222;311,829;222;-1,46484
223;-31,8604;223;311,829;223;-1,46484
224;-112,793;224;312,012;224;-0,732422
225;-313,843;225;311,462;225;-2,19727
226;-310,547;226;311,462;226;-1,46484
227;-310,181;227;312,012;227;0
228;-310,547;228;311,829;228;0,366211
229;-311,279;229;312,195;229;0
230;-311,279;230;311,829;230;0
231;4,02832;231;311,462;231;-1,46484
232;0,732422;232;311,646;232;-1,09863
233;1,09863;233;312,195;233;-0,732422
234;1,09863;234;311,646;234;-1,09863
235;1,09863;235;311,646;235;-0,732422
236;1,46484;236;311,646;236;-1,46484
